case_id,customer_id,signal_id,incident_type,received_at,priority_score_assigned,matched_responder_profession,response_time_minutes,outcome,escalation_required
CASE-0000032,CUST-004018,SIG-0004018,power_outage,2025-08-05T22:10:00-06:00,100,paramedic,161,resolved_on_scene,true
CASE-0000033,CUST-003737,SIG-0003737,wildfire_smoke,2025-04-02T06:01:00-06:00,88,nurse,107,unable_to_reach_first_attempt,true
CASE-0000034,CUST-002515,SIG-0002515,flood,2025-02-04T10:23:00-06:00,73,firefighter,169,transported_to_shelter,true
CASE-0000035,CUST-003642,SIG-0003642,power_outage,2025-08-19T11:14:00-06:00,54,ASL_interpreter,43,transported_to_hospital,false
CASE-0000036,CUST-001674,SIG-0001674,chemical_spill,2025-07-07T17:36:00-06:00,82,paramedic,161,transported_to_hospital,true
CASE-0000037,CUST-002150,SIG-0002150,winter_storm,2025-08-14T02:48:00-06:00,98,paramedic,168,transported_to_shelter,true
CASE-0000038,CUST-001358,SIG-0001358,extreme_heat,2025-10-11T12:18:00-06:00,77,EMT,81,transported_to_hospital,false
CASE-0000039,CUST-004118,SIG-0004118,wildfire_smoke,2025-04-11T15:34:00-06:00,76,nurse,132,transported_to_shelter,true
CASE-0000040,CUST-000130,SIG-0000130,chemical_spill,2025-05-06T21:53:00-06:00,100,search_and_rescue,39,transported_to_shelter,true
CASE-0000041,CUST-004313,SIG-0004313,winter_storm,2025-11-23T10:19:00-06:00,80,paramedic,86,transported_to_hospital,false
CASE-0000042,CUST-000431,SIG-0000431,chemical_spill,2025-04-08T01:56:00-06:00,100,firefighter,152,unable_to_reach_first_attempt,true
CASE-0000043,CUST-001251,SIG-0001251,chemical_spill,2025-06-22T19:50:00-06:00,54,firefighter,136,unable_to_reach_first_attempt,true
CASE-0000044,CUST-002435,SIG-0002435,chemical_spill,2025-04-04T22:03:00-06:00,92,search_and_rescue,118,referred_to_social_services,true
CASE-0000045,CUST-004870,SIG-0004870,winter_storm,2025-01-24T09:08:00-06:00,100,paramedic,55,unable_to_reach_first_attempt,true
CASE-0000046,CUST-000910,SIG-0000910,wildfire_smoke,2025-04-04T15:59:00-06:00,95,EMT,29,unable_to_reach_first_attempt,true
CASE-0000047,CUST-000206,SIG-0000206,extreme_heat,2025-02-02T19:03:00-06:00,100,mental_health_crisis,126,transported_to_hospital,true
CASE-0000048,CUST-000100,SIG-0000100,extreme_heat,2025-01-17T16:55:00-06:00,58,mental_health_crisis,129,transported_to_shelter,false
CASE-0000049,CUST-002745,SIG-0002745,wildfire_smoke,2025-11-25T01:00:00-06:00,90,paramedic,145,resolved_on_scene,true
CASE-0000050,CUST-003271,SIG-0003271,winter_storm,2025-09-04T01:08:00-06:00,100,paramedic,172,transported_to_shelter,true
CASE-0000051,CUST-000366,SIG-0000366,wildfire_smoke,2025-02-13T15:08:00-06:00,80,EMT,174,transported_to_shelter,true
CASE-0000052,CUST-004496,SIG-0004496,chemical_spill,2025-03-28T15:46:00-06:00,100,firefighter,26,resolved_on_scene,true
CASE-0000053,CUST-000958,SIG-0000958,flood,2025-04-11T19:58:00-06:00,100,search_and_rescue,144,transported_to_hospital,true
CASE-0000054,CUST-000178,SIG-0000178,winter_storm,2025-03-09T04:44:00-06:00,99,physician,105,referred_to_social_services,true
CASE-0000055,CUST-002128,SIG-0002128,winter_storm,2025-05-12T13:55:00-06:00,100,paramedic,139,resolved_on_scene,true
CASE-0000056,CUST-004564,SIG-0004564,wildfire_smoke,2025-01-05T06:01:00-06:00,86,mental_health_crisis,5,transported_to_hospital,true
CASE-0000057,CUST-004095,SIG-0004095,winter_storm,2025-07-07T13:40:00-06:00,64,evacuation_driver,101,transported_to_shelter,false
CASE-0000058,CUST-002411,SIG-0002411,tornado_damage,2025-06-14T17:02:00-06:00,76,firefighter,29,referred_to_social_services,false
CASE-0000059,CUST-000422,SIG-0000422,extreme_heat,2025-06-20T10:28:00-06:00,100,nurse,118,unable_to_reach_first_attempt,true
CASE-0000060,CUST-000864,SIG-0000864,winter_storm,2025-03-07T02:02:00-06:00,86,paramedic,159,unable_to_reach_first_attempt,true
CASE-0000061,CUST-002689,SIG-0002689,wildfire_smoke,2025-01-10T06:14:00-06:00,100,nurse,75,transported_to_hospital,true
CASE-0000062,CUST-001709,SIG-0001709,extreme_heat,2025-08-26T18:45:00-06:00,83,social_worker,66,transported_to_hospital,true
CASE-0000063,CUST-001178,SIG-0001178,chemical_spill,2025-04-07T17:36:00-06:00,79,firefighter,42,transported_to_shelter,false
CASE-0000064,CUST-002438,SIG-0002438,winter_storm,2025-06-03T22:24:00-06:00,96,nurse,105,transported_to_shelter,true
CASE-0000065,CUST-003167,SIG-0003167,winter_storm,2025-10-13T19:55:00-06:00,47,social_worker,45,referred_to_social_services,false
CASE-0000066,CUST-000154,SIG-0000154,wildfire_smoke,2025-07-26T07:12:00-06:00,91,nurse,104,transported_to_hospital,true
CASE-0000067,CUST-000045,SIG-0000045,extreme_heat,2025-09-27T17:38:00-06:00,100,paramedic,44,transported_to_hospital,true
CASE-0000068,CUST-004225,SIG-0004225,power_outage,2025-05-15T16:54:00-06:00,70,paramedic,5,transported_to_hospital,false
CASE-0000069,CUST-003293,SIG-0003293,tornado_damage,2025-03-21T14:07:00-06:00,100,evacuation_driver,143,transported_to_hospital,true
CASE-0000070,CUST-001925,SIG-0001925,tornado_damage,2025-12-09T15:46:00-06:00,87,firefighter,137,unable_to_reach_first_attempt,true
CASE-0000071,CUST-003913,SIG-0003913,power_outage,2025-05-20T17:16:00-06:00,100,nurse,81,referred_to_social_services,true
CASE-0000072,CUST-004014,SIG-0004014,chemical_spill,2025-10-06T21:22:00-06:00,100,paramedic,58,transported_to_shelter,true
CASE-0000073,CUST-004272,SIG-0004272,wildfire_smoke,2025-02-21T06:06:00-06:00,87,EMT,147,transported_to_hospital,true
CASE-0000074,CUST-004569,SIG-0004569,chemical_spill,2025-06-22T11:18:00-06:00,98,paramedic,87,referred_to_social_services,true
CASE-0000075,CUST-002021,SIG-0002021,power_outage,2025-05-07T02:56:00-06:00,80,utility_technician,163,transported_to_hospital,true
CASE-0000076,CUST-004165,SIG-0004165,chemical_spill,2025-06-28T00:03:00-06:00,100,firefighter,153,transported_to_shelter,true
CASE-0000077,CUST-001946,SIG-0001946,tornado_damage,2025-11-22T02:03:00-06:00,84,firefighter,57,referred_to_social_services,true
CASE-0000078,CUST-003109,SIG-0003109,flood,2025-07-14T05:15:00-06:00,67,EMT,162,transported_to_shelter,false
CASE-0000079,CUST-004717,SIG-0004717,tornado_damage,2025-08-24T11:41:00-06:00,78,firefighter,119,transported_to_shelter,true
CASE-0000080,CUST-004584,SIG-0004584,wildfire_smoke,2025-02-26T00:15:00-06:00,98,paramedic,172,referred_to_social_services,true
CASE-0000081,CUST-000746,SIG-0000746,winter_storm,2025-05-04T12:04:00-06:00,89,nurse,82,transported_to_hospital,true
CASE-0000082,CUST-001633,SIG-0001633,flood,2025-11-09T04:08:00-06:00,91,search_and_rescue,132,transported_to_hospital,true
CASE-0000083,CUST-004147,SIG-0004147,winter_storm,2025-06-10T13:40:00-06:00,98,paramedic,160,referred_to_social_services,true
CASE-0000084,CUST-004694,SIG-0004694,winter_storm,2025-04-18T08:18:00-06:00,100,physician,113,transported_to_shelter,true
CASE-0000085,CUST-000324,SIG-0000324,chemical_spill,2025-09-15T01:56:00-06:00,100,firefighter,5,referred_to_social_services,true
CASE-0000086,CUST-003197,SIG-0003197,extreme_heat,2025-01-17T08:55:00-06:00,78,paramedic,39,unable_to_reach_first_attempt,false
CASE-0000087,CUST-002434,SIG-0002434,wildfire_smoke,2025-07-21T05:09:00-06:00,85,nurse,32,unable_to_reach_first_attempt,true
CASE-0000088,CUST-003370,SIG-0003370,extreme_heat,2025-02-23T14:15:00-06:00,100,nurse,61,transported_to_hospital,true
CASE-0000089,CUST-001038,SIG-0001038,extreme_heat,2025-02-11T00:27:00-06:00,68,social_worker,53,resolved_on_scene,true
CASE-0000090,CUST-000176,SIG-0000176,power_outage,2025-09-22T00:21:00-06:00,85,physician,138,unable_to_reach_first_attempt,true
CASE-0000091,CUST-004143,SIG-0004143,chemical_spill,2025-05-25T11:41:00-06:00,68,paramedic,32,transported_to_shelter,false
CASE-0000092,CUST-002090,SIG-0002090,chemical_spill,2025-04-15T18:29:00-06:00,63,search_and_rescue,141,referred_to_social_services,false
CASE-0000093,CUST-000716,SIG-0000716,tornado_damage,2025-09-25T13:50:00-06:00,90,evacuation_driver,141,unable_to_reach_first_attempt,true
CASE-0000094,CUST-003389,SIG-0003389,chemical_spill,2025-11-13T12:07:00-06:00,72,paramedic,28,referred_to_social_services,false
CASE-0000095,CUST-001063,SIG-0001063,power_outage,2025-10-01T18:52:00-06:00,100,paramedic,22,unable_to_reach_first_attempt,true
CASE-0000096,CUST-002776,SIG-0002776,extreme_heat,2025-05-23T01:38:00-06:00,77,physician,63,unable_to_reach_first_attempt,true
CASE-0000097,CUST-001356,SIG-0001356,chemical_spill,2025-11-07T17:09:00-06:00,100,paramedic,69,unable_to_reach_first_attempt,true
CASE-0000098,CUST-004651,SIG-0004651,chemical_spill,2025-08-01T16:43:00-06:00,91,search_and_rescue,124,transported_to_hospital,true
CASE-0000099,CUST-003629,SIG-0003629,winter_storm,2025-08-08T05:33:00-06:00,76,nurse,144,transported_to_hospital,true
CASE-0000100,CUST-003057,SIG-0003057,power_outage,2025-10-16T07:13:00-06:00,74,utility_technician,41,referred_to_social_services,false
CASE-0000101,CUST-000706,SIG-0000706,extreme_heat,2025-08-28T04:36:00-06:00,100,paramedic,89,resolved_on_scene,true
CASE-0000102,CUST-003566,SIG-0003566,extreme_heat,2025-05-25T22:23:00-06:00,84,paramedic,69,unable_to_reach_first_attempt,true
CASE-0000103,CUST-004508,SIG-0004508,tornado_damage,2025-06-03T05:33:00-06:00,100,firefighter,159,transported_to_hospital,true
CASE-0000104,CUST-002951,SIG-0002951,flood,2025-03-27T03:45:00-06:00,100,firefighter,161,transported_to_shelter,true
CASE-0000105,CUST-004873,SIG-0004873,winter_storm,2025-07-26T22:55:00-06:00,60,physician,109,transported_to_hospital,false
CASE-0000106,CUST-000708,SIG-0000708,winter_storm,2025-06-10T02:55:00-06:00,86,EMT,146,referred_to_social_services,true
CASE-0000107,CUST-001158,SIG-0001158,winter_storm,2025-03-26T03:34:00-06:00,44,social_worker,159,transported_to_hospital,false
CASE-0000108,CUST-003186,SIG-0003186,flood,2025-08-19T09:44:00-06:00,100,firefighter,53,transported_to_shelter,true
CASE-0000109,CUST-004406,SIG-0004406,winter_storm,2025-10-26T17:18:00-06:00,87,physician,35,unable_to_reach_first_attempt,true
CASE-0000110,CUST-000523,SIG-0000523,tornado_damage,2025-04-16T05:58:00-06:00,100,evacuation_driver,24,referred_to_social_services,true
CASE-0000111,CUST-000403,SIG-0000403,tornado_damage,2025-02-07T11:24:00-06:00,67,evacuation_driver,10,transported_to_hospital,false
CASE-0000112,CUST-001655,SIG-0001655,winter_storm,2025-10-23T05:12:00-06:00,54,mental_health_crisis,97,referred_to_social_services,false
CASE-0000113,CUST-002501,SIG-0002501,flood,2025-05-23T04:42:00-06:00,100,nurse,124,transported_to_hospital,true
CASE-0000114,CUST-003580,SIG-0003580,flood,2025-07-08T06:50:00-06:00,100,firefighter,89,referred_to_social_services,true
CASE-0000115,CUST-004319,SIG-0004319,flood,2025-12-06T08:43:00-06:00,100,search_and_rescue,172,transported_to_hospital,true
CASE-0000116,CUST-000736,SIG-0000736,flood,2025-03-22T18:58:00-06:00,100,firefighter,111,transported_to_shelter,true
CASE-0000117,CUST-000268,SIG-0000268,chemical_spill,2025-02-13T05:33:00-06:00,63,paramedic,76,transported_to_hospital,true
CASE-0000118,CUST-004015,SIG-0004015,wildfire_smoke,2025-06-16T23:38:00-06:00,61,evacuation_driver,160,resolved_on_scene,false
CASE-0000119,CUST-002988,SIG-0002988,winter_storm,2025-03-08T02:19:00-06:00,100,EMT,137,transported_to_shelter,true
CASE-0000120,CUST-004452,SIG-0004452,flood,2025-10-02T06:04:00-06:00,100,search_and_rescue,167,transported_to_shelter,true
CASE-0000121,CUST-000224,SIG-0000224,flood,2025-07-21T18:51:00-06:00,77,physician,48,unable_to_reach_first_attempt,false
CASE-0000122,CUST-004288,SIG-0004288,chemical_spill,2025-03-19T01:37:00-06:00,56,paramedic,35,referred_to_social_services,false
CASE-0000123,CUST-000898,SIG-0000898,power_outage,2025-11-05T20:16:00-06:00,100,nurse,11,referred_to_social_services,true
CASE-0000124,CUST-000728,SIG-0000728,wildfire_smoke,2025-02-01T16:26:00-06:00,100,EMT,136,referred_to_social_services,true
CASE-0000125,CUST-000439,SIG-0000439,chemical_spill,2025-09-13T15:26:00-06:00,100,search_and_rescue,106,unable_to_reach_first_attempt,true
CASE-0000126,CUST-000612,SIG-0000612,winter_storm,2025-02-27T08:07:00-06:00,80,evacuation_driver,94,transported_to_hospital,false
CASE-0000127,CUST-000057,SIG-0000057,flood,2025-09-14T20:35:00-06:00,75,search_and_rescue,170,resolved_on_scene,true
CASE-0000128,CUST-000202,SIG-0000202,winter_storm,2025-11-04T14:13:00-06:00,71,physician,32,referred_to_social_services,false
CASE-0000129,CUST-002995,SIG-0002995,power_outage,2025-10-02T06:55:00-06:00,63,paramedic,173,transported_to_hospital,false
CASE-0000130,CUST-003653,SIG-0003653,flood,2025-08-17T20:03:00-06:00,79,evacuation_driver,169,referred_to_social_services,true
CASE-0000131,CUST-004102,SIG-0004102,power_outage,2025-08-02T09:15:00-06:00,96,paramedic,42,resolved_on_scene,true
CASE-0000132,CUST-004348,SIG-0004348,wildfire_smoke,2025-06-22T05:18:00-06:00,89,EMT,117,referred_to_social_services,true
CASE-0000133,CUST-001697,SIG-0001697,chemical_spill,2025-09-11T04:32:00-06:00,89,firefighter,61,transported_to_hospital,true
CASE-0000134,CUST-000374,SIG-0000374,power_outage,2025-11-26T03:10:00-06:00,52,paramedic,89,unable_to_reach_first_attempt,false
CASE-0000135,CUST-003959,SIG-0003959,extreme_heat,2025-12-21T18:35:00-06:00,100,nurse,149,resolved_on_scene,true
CASE-0000136,CUST-001877,SIG-0001877,tornado_damage,2025-10-06T15:37:00-06:00,79,search_and_rescue,152,resolved_on_scene,true
CASE-0000137,CUST-000195,SIG-0000195,winter_storm,2025-11-24T03:43:00-06:00,100,physician,131,referred_to_social_services,true
CASE-0000138,CUST-004122,SIG-0004122,wildfire_smoke,2025-02-16T00:37:00-06:00,81,nurse,29,transported_to_shelter,false
CASE-0000139,CUST-001845,SIG-0001845,extreme_heat,2025-10-24T17:45:00-06:00,47,physician,142,resolved_on_scene,false
CASE-0000140,CUST-003663,SIG-0003663,tornado_damage,2025-02-08T04:36:00-06:00,100,evacuation_driver,152,referred_to_social_services,true
CASE-0000141,CUST-002940,SIG-0002940,power_outage,2025-02-11T23:28:00-06:00,99,utility_technician,5,transported_to_shelter,true
CASE-0000142,CUST-001327,SIG-0001327,tornado_damage,2025-03-08T20:09:00-06:00,72,firefighter,109,unable_to_reach_first_attempt,true
CASE-0000143,CUST-001668,SIG-0001668,tornado_damage,2025-02-06T17:15:00-06:00,64,social_worker,20,transported_to_shelter,false
CASE-0000144,CUST-002678,SIG-0002678,winter_storm,2025-05-19T04:47:00-06:00,68,EMT,12,transported_to_hospital,false
CASE-0000145,CUST-002654,SIG-0002654,chemical_spill,2025-02-16T00:35:00-06:00,100,paramedic,162,transported_to_shelter,true
CASE-0000146,CUST-004408,SIG-0004408,extreme_heat,2025-11-10T18:15:00-06:00,24,mental_health_crisis,99,referred_to_social_services,false
CASE-0000147,CUST-000103,SIG-0000103,tornado_damage,2025-09-08T16:08:00-06:00,100,firefighter,172,resolved_on_scene,true
CASE-0000148,CUST-001652,SIG-0001652,chemical_spill,2025-09-15T05:23:00-06:00,100,paramedic,114,resolved_on_scene,true
CASE-0000149,CUST-004232,SIG-0004232,winter_storm,2025-03-05T14:31:00-06:00,72,EMT,51,referred_to_social_services,true
CASE-0000150,CUST-001762,SIG-0001762,chemical_spill,2025-04-13T17:09:00-06:00,66,search_and_rescue,169,resolved_on_scene,true
CASE-0000151,CUST-003916,SIG-0003916,chemical_spill,2025-07-24T17:16:00-06:00,82,search_and_rescue,128,unable_to_reach_first_attempt,true
CASE-0000152,CUST-002476,SIG-0002476,chemical_spill,2025-07-10T19:16:00-06:00,88,paramedic,5,transported_to_hospital,true
CASE-0000153,CUST-001236,SIG-0001236,winter_storm,2025-10-18T15:07:00-06:00,100,EMT,126,transported_to_shelter,true
CASE-0000154,CUST-001937,SIG-0001937,tornado_damage,2025-12-17T14:18:00-06:00,93,evacuation_driver,117,referred_to_social_services,true
CASE-0000155,CUST-000317,SIG-0000317,extreme_heat,2025-11-25T11:44:00-06:00,88,paramedic,28,transported_to_hospital,true
CASE-0000156,CUST-002545,SIG-0002545,winter_storm,2025-08-04T04:55:00-06:00,86,paramedic,157,transported_to_shelter,true
CASE-0000157,CUST-002427,SIG-0002427,winter_storm,2025-04-23T18:48:00-06:00,100,paramedic,109,referred_to_social_services,true
CASE-0000158,CUST-000342,SIG-0000342,extreme_heat,2025-05-20T02:43:00-06:00,82,nurse,29,referred_to_social_services,true
CASE-0000159,CUST-003385,SIG-0003385,wildfire_smoke,2025-09-03T14:13:00-06:00,98,ASL_interpreter,28,unable_to_reach_first_attempt,true
CASE-0000160,CUST-001730,SIG-0001730,extreme_heat,2025-07-04T00:44:00-06:00,100,paramedic,164,transported_to_shelter,true
CASE-0000161,CUST-001298,SIG-0001298,power_outage,2025-09-22T22:26:00-06:00,87,paramedic,74,transported_to_shelter,true
CASE-0000162,CUST-002054,SIG-0002054,winter_storm,2025-02-07T14:48:00-06:00,80,EMT,114,resolved_on_scene,true
CASE-0000163,CUST-003650,SIG-0003650,chemical_spill,2025-11-22T18:50:00-06:00,100,search_and_rescue,35,resolved_on_scene,true
CASE-0000164,CUST-000358,SIG-0000358,extreme_heat,2025-09-18T07:42:00-06:00,92,paramedic,91,transported_to_shelter,true
CASE-0000165,CUST-004233,SIG-0004233,extreme_heat,2025-08-26T08:12:00-06:00,75,social_worker,122,referred_to_social_services,true
CASE-0000166,CUST-000568,SIG-0000568,chemical_spill,2025-11-09T18:08:00-06:00,73,firefighter,146,transported_to_hospital,true
CASE-0000167,CUST-002654,SIG-0002654,power_outage,2025-02-03T16:17:00-06:00,100,utility_technician,73,referred_to_social_services,true
CASE-0000168,CUST-000995,SIG-0000995,winter_storm,2025-06-24T17:00:00-06:00,100,EMT,98,transported_to_shelter,true
CASE-0000169,CUST-000802,SIG-0000802,winter_storm,2025-11-02T03:21:00-06:00,77,nurse,104,unable_to_reach_first_attempt,true
CASE-0000170,CUST-000137,SIG-0000137,tornado_damage,2025-04-27T05:14:00-06:00,91,physician,54,referred_to_social_services,true
CASE-0000171,CUST-000661,SIG-0000661,extreme_heat,2025-12-15T10:32:00-06:00,81,ASL_interpreter,97,resolved_on_scene,true
CASE-0000172,CUST-004969,SIG-0004969,wildfire_smoke,2025-05-09T04:52:00-06:00,61,ASL_interpreter,119,transported_to_hospital,false
CASE-0000173,CUST-004035,SIG-0004035,flood,2025-01-06T12:38:00-06:00,79,evacuation_driver,154,transported_to_shelter,true
CASE-0000174,CUST-000068,SIG-0000068,chemical_spill,2025-11-02T13:36:00-06:00,100,paramedic,24,resolved_on_scene,true
CASE-0000175,CUST-001132,SIG-0001132,tornado_damage,2025-09-27T21:08:00-06:00,65,search_and_rescue,83,referred_to_social_services,false
CASE-0000176,CUST-003188,SIG-0003188,extreme_heat,2025-11-06T16:33:00-06:00,96,nurse,122,unable_to_reach_first_attempt,true
CASE-0000177,CUST-002165,SIG-0002165,tornado_damage,2025-09-09T01:30:00-06:00,100,firefighter,25,transported_to_hospital,true
CASE-0000178,CUST-000382,SIG-0000382,extreme_heat,2025-01-11T19:25:00-06:00,79,nurse,62,unable_to_reach_first_attempt,false
CASE-0000179,CUST-002635,SIG-0002635,chemical_spill,2025-11-27T02:43:00-06:00,94,search_and_rescue,107,unable_to_reach_first_attempt,true
CASE-0000180,CUST-003920,SIG-0003920,winter_storm,2025-09-24T09:01:00-06:00,100,EMT,17,unable_to_reach_first_attempt,true
CASE-0000181,CUST-001331,SIG-0001331,flood,2025-10-25T04:31:00-06:00,100,evacuation_driver,44,unable_to_reach_first_attempt,true
CASE-0000182,CUST-004987,SIG-0004987,extreme_heat,2025-04-11T10:49:00-06:00,100,paramedic,22,transported_to_shelter,true
CASE-0000183,CUST-003789,SIG-0003789,tornado_damage,2025-11-21T21:01:00-06:00,100,search_and_rescue,40,unable_to_reach_first_attempt,true
CASE-0000184,CUST-003346,SIG-0003346,chemical_spill,2025-07-11T07:09:00-06:00,94,paramedic,14,transported_to_shelter,true
CASE-0000185,CUST-002582,SIG-0002582,power_outage,2025-02-02T18:33:00-06:00,100,utility_technician,101,transported_to_hospital,true
CASE-0000186,CUST-003552,SIG-0003552,tornado_damage,2025-06-22T09:30:00-06:00,96,search_and_rescue,99,transported_to_hospital,true
CASE-0000187,CUST-003048,SIG-0003048,power_outage,2025-08-08T02:21:00-06:00,100,paramedic,165,transported_to_shelter,true
CASE-0000188,CUST-001159,SIG-0001159,chemical_spill,2025-09-25T13:55:00-06:00,92,firefighter,50,referred_to_social_services,true
CASE-0000189,CUST-003363,SIG-0003363,winter_storm,2025-02-07T18:53:00-06:00,100,nurse,178,resolved_on_scene,true
CASE-0000190,CUST-003361,SIG-0003361,winter_storm,2025-10-14T12:39:00-06:00,45,social_worker,107,resolved_on_scene,false
CASE-0000191,CUST-002144,SIG-0002144,flood,2025-06-08T07:56:00-06:00,100,search_and_rescue,16,resolved_on_scene,true
CASE-0000192,CUST-002783,SIG-0002783,flood,2025-02-24T04:24:00-06:00,71,search_and_rescue,113,transported_to_hospital,true
CASE-0000193,CUST-002928,SIG-0002928,extreme_heat,2025-08-04T06:03:00-06:00,79,EMT,17,unable_to_reach_first_attempt,false
CASE-0000194,CUST-004640,SIG-0004640,power_outage,2025-06-18T04:06:00-06:00,40,nurse,88,referred_to_social_services,false
CASE-0000195,CUST-003147,SIG-0003147,wildfire_smoke,2025-06-12T22:31:00-06:00,73,EMT,163,unable_to_reach_first_attempt,true
CASE-0000196,CUST-002928,SIG-0002928,flood,2025-09-17T03:06:00-06:00,72,firefighter,10,referred_to_social_services,true
CASE-0000197,CUST-003456,SIG-0003456,power_outage,2025-04-16T14:03:00-06:00,100,utility_technician,75,resolved_on_scene,true
CASE-0000198,CUST-004662,SIG-0004662,chemical_spill,2025-05-19T15:28:00-06:00,48,firefighter,113,referred_to_social_services,false
CASE-0000199,CUST-001823,SIG-0001823,winter_storm,2025-03-18T19:26:00-06:00,100,nurse,100,unable_to_reach_first_attempt,true
CASE-0000200,CUST-003970,SIG-0003970,chemical_spill,2025-01-08T03:27:00-06:00,89,search_and_rescue,11,resolved_on_scene,true
CASE-0000201,CUST-003357,SIG-0003357,chemical_spill,2025-11-21T23:22:00-06:00,69,paramedic,51,transported_to_shelter,false
CASE-0000202,CUST-004299,SIG-0004299,flood,2025-05-20T20:22:00-06:00,79,evacuation_driver,48,transported_to_hospital,false
CASE-0000203,CUST-001890,SIG-0001890,power_outage,2025-11-11T06:45:00-06:00,100,utility_technician,158,resolved_on_scene,true
CASE-0000204,CUST-003461,SIG-0003461,chemical_spill,2025-11-15T01:18:00-06:00,60,search_and_rescue,139,referred_to_social_services,true
